feature,importance
OverallQual_x_GrLivArea,83
TotalSF,83
Neighborhood,61
OverallCond,57
BsmtFinSF1,56
OverallQual_div_GrLivArea,54
TotalArea,53
GarageYrBlt,50
RoomDensity,49
LotArea,49
GarageArea,49
TotalPorch,45
HouseAge,41
BsmtUnfSF,39
TotalBsmtSF,36
1stFlrSF,35
OpenPorchSF,34
YearRemodAdd,31
LotFrontage,30
RemodAge,27
TotalBath,27
GrLivArea,24
YearBuilt,24
GarageCars_x_GarageArea,22
OverallQual,21
Fireplaces,19
Condition1_Norm,18
SaleCondition_Abnorml,17
BsmtExposure_No,16
MasVnrArea,16
MoSold,15
EnclosedPorch,15
WoodDeckSF,15
CentralAir_N,15
2ndFlrSF,12
YrSold,11
BsmtExposure_Gd,10
LotConfig_CulDSac,9
Exterior1st_BrkFace,9
MSZoning_RM,8
GarageCars,8
Functional_Typ,8
SaleCondition_Normal,7
ScreenPorch,7
MSSubClass,7
KitchenQual_Gd,7
MSZoning_RL,7
BsmtCond_Fa,6
Exterior2nd,6
BsmtQual_Ex,6
KitchenAbvGr,6
SaleType_New,6
BedroomAbvGr,5
HeatingQC_TA,5
LotShape_Reg,5
KitchenQual_Ex,5
KitchenQual_TA,5
PavedDrive_N,5
PavedDrive_Y,5
ExterCond_TA,4
BsmtQual_Gd,4
FireplaceQu_Gd,4
GarageType_Attchd,4
HeatingQC_Ex,4
LotConfig_Inside,4
Condition1_Artery,4
MasVnrType_BrkFace,4
MasVnrType_Stone,4
LandContour_Low,4
BsmtFinType1_ALQ,4
LotConfig_FR2,3
ExterCond_Gd,3
SaleCondition_Family,3
GarageFinish_Unf,3
SaleType_WD,3
TotRmsAbvGrd,3
BsmtFullBath,3
BsmtFinType1_GLQ,3
GarageType_Detchd,3
HalfBath,2
GarageCond_TA,2
GarageQual_TA,2
Functional_Min2,2
SaleType_COD,2
OverallQualScore,2
Foundation_PConc,2
BsmtFinType1_LwQ,2
BsmtFinType1_Rec,2
BsmtFinType2_BLQ,2
Electrical_SBrkr,2
Exterior1st_Plywood,2
LandContour_Bnk,2
LotShape_IR1,2
HouseStyle_1.5Fin,2
HouseStyle_1Story,2
HouseStyle_2Story,2
RoofStyle_Gable,2
BsmtFinSF2,2
ExterQual_Gd,1
Exterior1st_MetalSd,1
HouseStyle_SLvl,1
IsRemodelled,1
LandContour_Lvl,1
Exterior1st_HdBoard,1
Foundation_BrkTil,1
LotShape_IR2,1
ExterQual_TA,1
ExterCond_Fa,1
Electrical_FuseA,1
FireplaceQu_TA,1
FireplaceQu_Po,1
GarageFinish_RFn,1
Fence_MnPrv,1
 Heating_Missing,0
 HeatingQC_Missing,0
 CentralAir_Missing,0
 Electrical_Missing,0
 Utilities_Missing,0
 GrLivArea_log,0
 Foundation_Missing,0
 BsmtExposure_Missing,0
 LowQualFinSF_log,0
 2ndFlrSF_log,0
